dataset,cover_model,detector,attempted_bits_per_transition_mean,attempted_bits_per_transition_std,n_seeds,auc_mean,auc_std,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,eer_mean,eer_std,eer_min,eer_max
t_drive_cells,backoff,mlp,0.24706,0.0009633275663033874,5,0.5349268380000001,0.0007073120768320526,0.5339659250000001,0.53565217,0.51955,0.00026457513110646663,0.5192,0.5199,0.48053,0.0003563705936240899,0.48015,0.48109999999999997
t_drive_cells,gru,forest,0.02762,0.0029320641193534645,5,0.504585191,0.0011394296489604249,0.503220365,0.505991335,0.50234,0.0005877924803874167,0.50165,0.50305,0.49766000000000005,0.0005877924803874329,0.49695,0.49835
t_drive_cells,gru,linear,0.02762,0.0029320641193534645,5,0.5045124980000001,0.0012365814050721003,0.50295798,0.5059523750000001,0.5023000000000001,0.0006383572667401715,0.5015000000000001,0.50305,0.49770000000000003,0.0006383572667402063,0.49695,0.49850000000000005
t_drive_cells,gru,mlp,0.02762,0.0029320641193534645,5,0.503557105,0.0020352619757140365,0.500475595,0.505845445,0.5017699999999999,0.001018945533382433,0.50025,0.50305,0.49821,0.0011243887228178733,0.49695,0.49995
t_drive_cells,temporal_graph_encoder,forest,0.00017999999999999998,0.0004024922359499621,5,0.500159904,0.00035755621387410064,0.5,0.5007995199999999,0.50008,0.00017888543819996348,0.5,0.5004,0.49992000000000003,0.00017888543819996348,0.49960000000000004,0.5
t_drive_cells,temporal_graph_encoder,linear,0.00017999999999999998,0.0004024922359499621,5,0.500158028,0.0003533613503483344,0.5,0.50079014,0.50008,0.00017888543819996348,0.5,0.5004,0.49992000000000003,0.00017888543819996348,0.49960000000000004,0.5
t_drive_cells,temporal_graph_encoder,mlp,0.00017999999999999998,0.0004024922359499621,5,0.5001596960000001,0.00035677249998070104,0.49999999000000006,0.50079791,0.50008,0.00017888543819996348,0.5,0.5004,0.49992000000000003,0.0001788854381999883,0.4996,0.5
t_drive_cells,transformer,forest,0.014159999999999997,0.001803607496103295,5,0.5017745459999999,0.00046612581244766894,0.501298715,0.502387825,0.5008900000000001,0.00023822258499144177,0.50065,0.5012000000000001,0.49911000000000005,0.00023822258499141966,0.4988,0.49935
t_drive_cells,transformer,linear,0.014159999999999997,0.001803607496103295,5,0.5017807670000001,0.00044275447288259225,0.501296455,0.5023195600000001,0.50091,0.00023291629397701667,0.50065,0.5012,0.49909,0.00023291629397704467,0.4988,0.49935
t_drive_cells,transformer,mlp,0.014159999999999997,0.001803607496103295,5,0.501696795,0.0004610289490096928,0.50128649,0.50238626,0.50085,0.00023184046238736706,0.50065,0.5012,0.49915000000000004,0.00023184046238738205,0.4988,0.49935
